epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,19318.9,1.10329,0.70318,1.09765,0.90503,0.85785,0.91469,0.59411,1.15239,0.66612,1.10831,0.000990365,0.000990365,0.000990365
43,19472.9,1.09831,0.69068,1.09483,0.8985,0.87991,0.92638,0.60437,1.15521,0.64939,1.11122,0.000973861,0.000973861,0.000973861
44,19602.1,1.08286,0.6753,1.07906,0.90822,0.86004,0.92066,0.59932,1.16327,0.65542,1.116,0.000957358,0.000957358,0.000957358
45,19742.2,1.08114,0.67126,1.07642,0.90834,0.88606,0.93436,0.60871,1.15525,0.63528,1.10426,0.000940855,0.000940855,0.000940855
46,19870.8,1.07046,0.66226,1.07477,0.91819,0.88084,0.93482,0.60605,1.15006,0.63909,1.1155,0.000924352,0.000924352,0.000924352
47,20011.4,1.07296,0.67458,1.07801,0.91868,0.85321,0.92301,0.61002,1.1347,0.63811,1.09798,0.000907848,0.000907848,0.000907848
48,20139.5,1.0774,0.66318,1.07644,0.91081,0.89613,0.93763,0.61146,1.15556,0.62694,1.10689,0.000891345,0.000891345,0.000891345
49,20287.6,1.06412,0.65229,1.06612,0.90339,0.88176,0.93078,0.61451,1.13876,0.64093,1.10327,0.000874842,0.000874842,0.000874842
50,20415.8,1.05549,0.64402,1.05968,0.92108,0.86779,0.9287,0.61177,1.14371,0.62997,1.10778,0.000858338,0.000858338,0.000858338
51,20555.9,1.06792,0.646,1.06731,0.921,0.87204,0.93134,0.61663,1.13164,0.62337,1.10161,0.000841835,0.000841835,0.000841835
52,20686,1.02768,0.62053,1.05448,0.89474,0.88643,0.93302,0.62219,1.1297,0.62612,1.09473,0.000825332,0.000825332,0.000825332
53,20826.5,1.03331,0.62445,1.04661,0.90338,0.88093,0.93028,0.62014,1.11788,0.61253,1.08332,0.000808828,0.000808828,0.000808828
54,20955.4,1.0328,0.61624,1.05246,0.9033,0.89899,0.92746,0.61343,1.13811,0.6026,1.09772,0.000792325,0.000792325,0.000792325
55,21095.6,1.03384,0.61837,1.05044,0.91484,0.87962,0.92992,0.62053,1.12719,0.60671,1.09865,0.000775822,0.000775822,0.000775822
56,21224.6,1.02622,0.6169,1.05353,0.9298,0.87921,0.93515,0.61151,1.14329,0.60445,1.11007,0.000759318,0.000759318,0.000759318
